t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method,u_gps_raw_midship [m/s],vm_gps_raw_midship [m/s],U_gps_raw_midship [m/s]
0.0,0.9847052465389801,-0.0005245360734240151,-0.45160953437851703,-0.0018441919278366398,0.0340008123042412,0.000349065842596636,4.47021484375,0.0,0.574849847252001,0.9859979062367471,0.57667743029372,1.0210056616165601,-0.0005245360734240151,-0.0018441919278366398,0.0357792488336459,0.0340008123042412,0.0300843531323902,0.00871999854261207,0.000349065842596636,1,1,0.0109406991474744,0.0014386646719353302,0.0110348835006909
0.1,0.9790649792890022,-0.000490434295922651,-0.45438890857333897,-0.0018149907781825302,0.0322840375615854,0.000338697550242281,0.0,0.0,0.619808444300572,1.0557723593614199,0.621674912098001,1.08882650152778,0.0026030600988583602,0.00119490340053224,0.0356047160748941,0.0322840375615854,0.0310683587405298,0.0245116197645998,-0.000698131685193272,1,1,0.000993928848694056,-0.00159414405908118,0.0018786138074043102
0.2,0.9790923367286709,-0.000380318365102299,-0.455228381355401,-0.0017483139785659,0.0328705727915757,0.000311655038769174,0.0,0.0,0.619671240880233,1.02952063472782,0.621561114655908,1.06342256812506,0.005206358573040529,0.00158764217791101,0.0356047160748941,0.0328705727915757,0.029113393035465,0.00871999854261207,-0.00104719752778991,1,1,0.00159912305872648,0.0037708980407721204,0.00409595734729377
0.3,0.9847633866215358,-0.00038839856023617796,-0.453289803510229,-0.0017019925407124699,0.0351748868843689,0.000277704573353406,0.0,0.0,0.6196831992039139,1.0295358901103,0.6215401033154511,1.0656904062521702,-0.000525713959377895,-0.000162300399960277,0.0356047160748941,0.0351748868843689,0.0310683592188086,0.00871999854261207,-0.000872664639000881,1,1,0.00160435262289747,0.00351727603531351,0.00386589938399704
0.4,0.9847633866215358,-0.000394091311351557,-0.453289803510229,-0.00179936234146035,0.0351748868843689,0.00025437167241784903,0.0,0.0,0.619702085364695,1.00336309170372,0.621620483649734,1.03967063809131,-0.000541317736224638,-0.0043175486039843895,0.0354301833161422,0.0351748868843689,0.0310683592188086,0.00871999854261207,-0.000349065842596636,1,1,0.00160435262289747,0.00276748255886263,0.00319889153492375
0.5,0.9847633866215358,-0.000400632444150945,-0.453289803510229,-0.00187504792998083,0.0351748868843689,0.00019567432798315,0.0,0.0,0.604733875709478,1.0121122178561,0.606717420524558,1.04847351620587,-0.000539135981909426,-0.0034776330003221,0.0354301833161422,0.0351748868843689,0.031561844338994,0.0117702946785296,-0.00104719752778991,1,1,0.00160435262289747,0.0037672071320593897,0.004094605831388071
0.6,0.9817059317736779,-0.00023875198537330099,-0.45558657702619,-0.00184518427781437,0.0322840375615854,0.00013077134424028999,3.8427734375,0.0,0.6046787050827751,1.01204701711732,0.606634464783315,1.04580940772636,0.00260091746877279,-0.00128229016602461,0.0354301833161422,0.0322840375615854,0.029113393035465,0.0117702946785296,-0.00104719752778991,1,1,0.00159779057970895,0.00377183559203709,0.00409630058344898
0.7,0.9817332892133459,7.88841847786007e-05,-0.456426049808251,-0.00178908925513882,0.0328705727915757,5.15477518502603e-05,5.8819580078125,0.0,0.634521617581086,1.0380018481761801,0.636479267064669,1.0728724685589,0.00520131277213575,-0.000889788178985269,0.0352556505573903,0.0328705727915757,0.0296060007438042,0.0117702946785296,-0.00122173048159752,1,1,0.00159912305872648,0.00402082923062462,0.00432715405997939
0.8,0.9817332892133459,0.0004075675753343,-0.456426049808251,-0.0017851504192963699,0.0328705727915757,-1.89639709421474e-05,6.8231201171875,0.0,0.634495474111592,1.0377341365603499,0.636340339306533,1.07334307036425,0.00520057614701337,-0.00172771254900014,0.0352556505573903,0.0328705727915757,0.0300996015357347,0.0148608982192895,-0.00104719752778991,1,1,0.00159912305872648,0.0037708980407721204,0.00409595734729377
0.9,0.9843468842583499,0.00038041559154143904,-0.456784245479039,-0.0017196566774548801,0.0322840375615854,-6.586239825758339e-05,6.8231201171875,0.0,0.649543612163037,1.0465465356439798,0.65132870858389,1.08134006006618,2.46320873397081e-07,-0.000839918401187458,0.0352556505573903,0.0322840375615854,0.0271497876110451,-0.00133395723934382,-0.000698131685193272,1,1,0.00159779057970895,0.00327197330543871,0.0036412558339273798
1.0,0.9842437055754221,0.00043281536161683703,-0.45347049163164793,-0.00182867687852465,0.0299688416746979,-6.103723442358149e-05,6.8231201171875,0.0,0.644578744242013,1.05531055473614,0.6464061415097719,1.0878987375845501,0.00104531049947622,-0.00321895724771853,0.0352556505573903,0.0299688416746979,0.0296060007438042,0.0276415227260338,-0.0,1,1,0.00159252560130746,0.00227594183734165,0.00277777771568961
1.1,0.981628113368634,0.0006986819293043309,-0.45311060512552204,-0.00183567478211008,0.030554152923276002,-5.6345809963390795e-05,6.8231201171875,0.0,0.6445979097063941,1.05515488869813,0.6462798042957719,1.08884683057602,0.0039046976851567204,-0.0019166834437012198,0.0352556505573903,0.030554152923276002,0.0300996015357347,0.0276415227260338,-0.0,1,1,0.00159385746279883,0.0022750093243901802,0.00277777771568961
1.2,0.9842437055754221,0.000955896330063399,-0.45347049163164793,-0.00180802683002928,0.0299688416746979,-0.00010763715744667,6.8231201171875,0.0,0.649648015715828,1.08124486535108,0.6511967361817951,1.11471923131868,0.0039047234255666103,-0.00149443986210115,0.0352556505573903,0.0299688416746979,0.0296060007438042,0.0276415227260338,-0.000698131685193272,1,1,0.00159252560130746,0.00327566641053842,0.00364226965283315
1.3,0.9842437055754221,0.000963043141191233,-0.45347049163164793,-0.0018897244858542,0.0299688416746979,-1.23618727674775e-05,6.8231201171875,0.0,0.654620466785175,1.09876215627174,0.6562536218283629,1.13215447484742,0.00104252304975307,-0.00279828665414654,0.0350811177986385,0.0299688416746979,0.029113393035465,0.0245116197645998,0.00104719752778991,1,1,0.0020646580302117697,0.00035870166894947004,0.00209558575797438
1.4,0.984374241698019,0.00096406187412596,-0.45762371826110104,-0.0019694574761116397,0.0328705727915757,-4.08703368501924e-05,6.8231201171875,0.0,0.6546571591810201,1.0988470304412,0.656337128380059,1.13512179076446,0.00103439879664811,-0.0028012999906354198,0.0350811177986385,0.0328705727915757,0.029113393035465,0.00871999854261207,-0.000349065842596636,1,1,0.00207004158404351,0.00235215191786894,0.00313331945457272
1.5,0.9843468842583499,0.0010838403145226698,-0.456784245479039,-0.00213268047843948,0.0322840375615854,-0.000142993527922261,6.8231201171875,0.0,0.629693232360924,1.20367353073617,0.631666576273836,1.2394174170480101,0.00233687106935092,-0.00386279707987501,0.0349065850398866,0.0322840375615854,0.029113393035465,0.0117702946785296,-0.00122173048159752,1,1,0.00206895479490937,0.00360302151454953,0.00415479698393138
