t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0.0,-1.00058957359787,0.43333210291020796,2.7011639369572698,0.0684746253085366,-2.2460180895409,-0.000152468662641399,10,0.0,0.477228769677178,3.17870998419385,0.9143031728891541,0.989976684305612,0.43333210291020796,0.0684746253085366,-0.0036651913147553897,-2.4967641116399903,-2.2460180895409,-0.1245455622809,0.000349065842596636,1,2
0.1,-0.984741746581608,0.43840257973838703,2.7568969697026606,0.0236902147096287,-2.1427877907996002,-0.00016752978175038798,10,0.0,0.458855945361196,3.09400589619243,0.896745953466128,1.00088266002255,0.470524535879161,0.0470612658202538,-0.0036651913147553897,-2.4262409752687404,-2.1427877907996002,-0.12643548494037302,-0.000872664639000881,1,2
0.2,-1.0043094540977,0.43783686128427507,2.73469307583644,0.007074600823985141,-2.1040328713966,-0.000182952419772778,10,0.0,0.39300627475448996,2.83230222000334,0.819971660664285,0.8998648477003279,0.37982898362855894,0.0265800860258621,-0.0038397243335815795,-2.38785738953037,-2.1040328713966,-0.1245455622809,-0.000872664639000881,1,2
0.3,-1.01807131131448,0.43497003974399,2.7499678668417,-0.0354517767962759,-2.00359230434423,-0.000198778055478582,10,0.0,0.392950514166147,2.8318019835253296,0.8240603590808129,0.9484668875218649,0.388564750749312,0.0123905970451532,-0.004014257352407771,-2.30770826998519,-2.00359230434423,-0.1245455622809,-0.000872664639000881,1,2
0.4,-1.01807131131448,0.4304183583411261,2.7499678668417,-0.0335613506138253,-2.00359230434423,-0.000214974310213079,10,0.0103148958792865,0.534741344766542,2.67866381915801,0.948986256623454,0.8468889734303572,0.31270237769781606,0.0153290158694075,-0.00418879011115963,-2.30770826998519,-2.00359230434423,-0.1245455622809,-0.000349065842596636,1,2
0.5,-1.09836938124891,0.41980362122044707,2.56921591486946,-0.034011377799124,-1.9965559415304,-0.000231622862161063,10,0.0103148958792865,0.48854603644411204,2.8652733807106,0.905733791975323,0.959233894630125,0.20027045971030802,0.0205694002918788,-0.00436332312998582,-2.26365813535777,-1.9965559415304,-0.122632361986303,0.000174532921298318,1,2
0.6,-1.12498798602945,0.406958796728582,2.5114446976819704,-0.0296753681699422,-2.00236429035016,-0.000248691295844242,10,0.0103148958792865,0.48862569366494396,2.86566451771446,0.8924364919011949,0.9557534613532571,0.17037232228392002,0.004756109103890771,-0.00436332312998582,-2.2586921198235297,-2.00236429035016,-0.122632361986303,-0.00174532927800176,1,2
0.7,-1.17065399955769,0.393716100841255,2.42336770965268,-0.0228865883991988,-2.01290028850741,-0.00026628212579353,10,0.020629791758573,0.51217964903147,2.9564766052020697,0.905226952424537,0.998873543353009,0.176218117138974,0.0172851879951652,-0.00436332312998582,-2.2568916132829,-2.01290028850741,-0.12643548494037302,0.0,1,2
0.8,-1.15098482534707,0.36065329482576897,2.44523319398388,-0.0357154657737519,-1.9725245470635802,-0.000284417525725796,10,0.020629791758573,0.49907652481859105,2.95422180234563,0.874395372302326,1.01979892773685,-0.10333279121172,0.00868416734241307,-0.00436332312998582,-2.22417151105042,-1.9725245470635802,-0.1245455622809,-0.000698131685193272,1,2
0.9,-1.20289355423334,0.30550512889689097,2.2792043923856498,-0.0467070973927833,-1.92659156813355,-0.000303195642696331,10,0.020629791758573,0.418892679623761,2.97586378136554,0.7974882746706671,1.0559275949604399,-0.41074695538546896,0.0278567178688733,-0.00436332312998582,-2.15928858467603,-1.92659156813355,-0.122632361986303,0.0019198621667907898,1,2
