t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0.0,-0.41517572662546903,0.0196161845960732,2.54600809241808,0.00855340466543757,-0.0019385209736182398,0.007804099583817121,10,0.0,1.0138332348941501,2.86613648088905,1.03047281212801,2.8773634408154303,0.0196161845960732,0.00855340466543757,-0.0082030474635674,0.000264346699845097,-0.0019385209736182398,-0.0113495516773068,0.00523598796404245,1,2
0.1,-0.41252527957550605,0.0195744072111946,2.54794186616334,0.00860041837316396,-0.0041252928650277205,0.00846988685966848,10,0.0,1.12805650307759,2.7000651144415597,1.14219291923936,2.71007146298881,0.01727179192215,0.00901422556143175,-0.0047123891676382,0.000264346699845097,-0.0041252928650277205,-0.0231069068213954,0.0130899693899575,1,2
0.2,-0.40961896569859796,0.0195583475727971,2.5498212975469303,0.0085321778143902,-0.000944640428399923,0.00911021874771865,10,0.0,1.0227799873738,2.6840645369174303,1.0366862316693,2.69883854087506,0.0173817965035622,0.00823381203042044,-0.00331612553717733,0.00417967021278076,-0.000944640428399923,-0.0231069068213954,0.0165806276858867,1,2
0.3,-0.40961896569859796,0.0195716928082249,2.5498212975469303,0.00848936306751477,-0.000944640428399923,0.00971843865999865,10,-0.0783303768295055,1.02263362930001,2.68436205470821,1.03657607205049,2.69910354639054,0.0200238794801846,0.0070386387243558295,-0.0015707963892127301,0.00480061072944227,-0.000944640428399923,-0.0256131931040271,0.0165806276858867,1,2
0.4,-0.40669959064360706,0.0195025771643742,2.5524190597878196,0.00825884195605644,0.00173437425879786,0.010287985641159,10,-0.10770426814057,0.972891375027835,2.77168055310321,0.988209412346768,2.788352570847,0.0171287347072833,0.0036538941560691103,0.000174532921298318,0.00871988433024096,0.00173437425879786,-0.0280901252971664,0.0185004890724545,1,2
0.5,-0.40669637946754,0.0194036207599594,2.55098283990843,0.00809648404831366,0.00273732365086388,0.0108129118617337,10,-0.146869456555323,0.972783763236717,2.77194124253367,0.988072328009838,2.7894277263926397,0.0171331109923283,0.00507293635580192,0.0019198621667907898,0.00871988433024096,0.00273732365086388,-0.0231069068213954,0.0176278252786952,1,2
0.6,-0.398488073817145,0.0191626935807415,2.55263084267248,0.0079342314963983,0.0044068660022114105,0.0112878009751979,10,-0.17624334786638698,0.892637430299271,2.71974177859919,0.907009376555457,2.7407950492835997,0.014545094494679,0.00557756506237734,0.0036651913147553897,0.0113768802084386,0.0044068660022114105,-0.0256131931040271,0.0165806276858867,1,2
0.7,-0.3955429979429021,0.0187640252339658,2.55452345465081,0.007986605074839821,0.007578361354883209,0.0117078507340773,10,-0.20561723917745198,0.9877592310553069,2.74543826667974,1.0021335031141099,2.76763382884616,0.0119537692121924,0.00980575418456075,0.005061454685141929,0.0146499613275528,0.007578361354883209,-0.0231069068213954,0.0136135676662131,1,2
0.8,-0.395566856622125,0.018474079295468,2.55834431839451,0.0078770177803386,0.0049101076069690795,0.0120689745913649,10,-0.234991130488517,0.987694039797889,2.74559814567047,1.00184037113573,2.76491295176726,0.0145576874856597,0.00554928009415482,0.0064577183156028,0.0146499613275528,0.0049101076069690795,-0.0376158600856471,0.0129154366312056,1,2
0.9,-0.395566856622125,0.0182036415040697,2.55834431839451,0.0077162809926583096,0.0049101076069690795,0.0123677582754375,10,-0.254573724695893,1.0279088840767,2.7807389896938504,1.04234115319784,2.79877429281313,0.0145576874856597,0.00554928009415482,0.007679448667163159,0.0152829916977308,0.0049101076069690795,-0.0400510411591857,0.0129154366312056,1,2
