t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0.0,1.82358581333958,0.13449790318625,1.23653438872712,0.0316831289009034,-0.0345838311357272,0.000238008564031827,16.6666666666667,0.0,2.44498584029429,4.5552942093555195,2.5005932146747796,4.4695462396268795,0.13449790318625,0.0316831289009034,0.007504915908411291,-0.0279866446233632,-0.0345838311357272,-0.0683530404941062,0.0047123891676382,1,2
0.1,1.89702028347785,0.134378819456941,1.25586886118903,0.0291662446864177,-0.0173667409070426,0.000192590011494869,16.6666666666667,-0.0195825942073764,2.6400824899096498,4.869499118875201,2.6514208837994,4.80032965323293,0.0699174118656705,0.00950221345620475,0.0176278252786952,-0.0174321533512718,-0.0173667409070426,-0.0170339216190094,-0.000174532921298318,1,2
0.2,1.90786100349777,0.13301717015603,1.25870996599806,0.028757925901646,-0.0173667418842502,0.00013760196791529698,16.6666666666667,-0.0293738913110646,2.54506667752626,4.91309202410685,2.5503627252777403,4.842340037690059,0.0645959878110727,0.00824040822758797,0.0176278252786952,-0.0209499687020884,-0.0173667418842502,0.000855442097115633,-0.0015707963892127301,1,2
0.3,1.91055614781247,0.13107373264637598,1.26045789442121,0.0284242097859509,-0.0194240714699199,7.27841991802716e-05,16.6666666666667,-0.0293738913110646,2.5950320675372995,4.9217876234805,2.59905254207726,4.85073135962445,0.0672370279411297,0.007846090318314241,0.0174532925199433,-0.0214755039336627,-0.0194240714699199,-0.00877506941865236,0.00104719752778991,1,2
0.4,1.9186908274456103,0.128865352634276,1.26091556391002,0.0274735683558942,-0.0169228880948531,-1.8948772853987e-06,16.6666666666667,-0.0489564855184409,2.59499569207908,4.92179207768236,2.59842488031856,4.85413207284806,0.0699239983463739,0.0113688996536916,0.0174532925199433,-0.0190177184196945,-0.0169228880948531,-0.00595187854141455,0.000349065842596636,1,2
0.5,1.9239947852526,0.126183922184773,1.25978993335182,0.0269627830556196,-0.017809688456355,-8.63257624644519e-05,16.6666666666667,-0.0489564855184409,2.48495455620619,4.87822017507338,2.4940531355428703,4.808695719999941,0.0699236143045232,0.0137277730376752,0.0174532925199433,-0.0219997524577604,-0.017809688456355,0.0036841562237250897,0.000872664639000881,1,2
0.6,1.9319731085995702,0.122774929142401,1.2591408098271397,0.0267046658701602,-0.0198658380347869,-0.000180326385013004,16.6666666666667,-0.0587477826221291,2.40490657193876,4.84327993635279,2.4186048640874303,4.7716118088577,0.0619138211279637,0.0173119661931611,0.0174532925199433,-0.0249894027674096,-0.0198658380347869,0.00654824992303626,-0.000174532921298318,1,2
0.7,1.94017287352433,0.119209953889108,1.2631795823494298,0.0261544829982223,-0.0198658382796151,-0.00028361144694148796,16.6666666666667,-0.0685390797258173,2.30482064864671,4.79954982154486,2.32365795632332,4.72756062865179,0.0619138221746379,0.0173119666165034,0.0174532925199433,-0.0225227152091911,-0.0198658382796151,-0.005951880059055671,0.000872664639000881,1,2
0.8,1.94280139948339,0.11589443049550399,1.261349426127,0.0259194858751066,-0.0194240717149541,-0.000395754741925267,16.6666666666667,-0.0783303768295055,2.19976205236066,4.8172587510280405,2.21655861426885,4.74456170581111,0.0673776632580655,0.0232606447193968,0.0172787597611914,-0.0230444001166392,-0.0194240717149541,-0.000196330812954892,-0.00139626337038654,1,2
0.9,1.95095813014045,0.112576851449655,1.2630768020796002,0.0253156367278038,-0.0178096882122569,-0.000516156630936107,16.6666666666667,-0.0783303768295055,2.19970187074033,4.817259570838929,2.21607012137869,4.7476817640639,0.0672882430696157,0.0196975888361246,0.0172787597611914,-0.0230444006998696,-0.0178096882122569,0.00944834780215742,0.000174532921298318,1,2
