t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0,-4.07765077765224,0.0311710337907925,6.79358165848609,0.0127700997772419,0.0615572934830506,0.00353065242119861,10,0,1.49842055117316,1.21248700387486,1.4757369918883,1.29079130953128,0.0311710337907925,0.0127700997772419,-0.00698131711200705,0.0615572934830506,0.0526206338123287,0.0065481486606902,0.0082030474635674,1,1
0.1,-4.07500982452079,0.0312038833833855,6.79238398973993,0.0128000756110854,0.0615572934830506,0.00376134444590704,10,-0.0195825942073764,1.49831484000353,1.21245578431177,1.47559105880227,1.29077514005856,0.0344888426426886,0.0157976589954298,-0.00610865227795042,0.0615572934830506,0.0526206338123287,0.0065481486606902,0.00942477833527641,1,1
0.2,-4.06649325213158,0.0311481750514804,6.79142504425151,0.0128413488492856,0.0650543267583463,0.00397554214342618,10,-0.0391651884147528,1.67312931676425,1.34372060545576,1.6538192923061,1.42539034940803,0.0261092432803578,0.0204023948615843,-0.00331612553717733,0.0650543267583463,0.0571096956221664,0.0153589988517273,0.00802851470481554,1,1
0.3,-4.06093443992796,0.0308349519202597,6.79666148623622,0.0129186642290407,0.0650543264777859,0.00417088361851401,10,-0.0489564855184409,1.67299082657737,1.3787063724932,1.6546302676423,1.46058820527422,0.0202217765721063,0.015538399227357,-0.00139626337038654,0.0650543264777859,0.059003887696673,0.027641332874931,0.00715584987075891,1,1
0.4,-4.06087554228636,0.0305431214674377,6.79576176933453,0.0129123746192601,0.0656839651975039,0.00434524379713056,10,-0.0685390797258173,1.8879188250369,1.40531171692977,1.8703322878085,1.48599102852471,0.0227855704069185,0.0132518876847676,-0.000698131685193272,0.0656839651975039,0.0595256544720415,0.027641332874931,0.0064577183156028,1,1
0.5,-4.06113974822872,0.0303058090827171,6.79986844975973,0.01311014601108,0.0628102417372662,0.00449676640828146,10,-0.0783303768295055,1.88784951520153,1.40529620286094,1.8700975049027,1.48296478724367,0.0260692722919284,0.0154404211451262,-0.000174532921298318,0.0628102417372662,0.0576307628586636,0.0306892570136739,0.00663225107435467,1,1
0.6,-4.05795768278625,0.0299486581013871,6.80219587861532,0.0129876056416193,0.0656839651975039,0.00462389125030806,10,-0.0881216739331937,2.16286409070525,1.343748767178,2.14359059896909,1.42170662003739,0.0227849632602699,0.0123451821862671,0.000349065842596636,0.0656839651975039,0.060572294193215,0.0337754960851437,0.00663225107435467,1,1
0.7,-4.05498022122039,0.0296871021507456,6.80772818921798,0.0130101200874365,0.06631508849129,0.00472537625227608,10,-0.0979129710368819,2.16281535566788,1.3437433221292,2.14357406582131,1.42221178738273,0.0253517435112257,0.0136757936893662,0.00104719752778991,0.06631508849129,0.0610971715508739,0.0337754886040178,0.00628318555685094,1,1
0.8,-4.05227895122172,0.0294674975524603,6.80562662864806,0.0135218001972981,0.0669477016751354,0.00480031394538202,10,-0.10770426814057,2.29787496353605,1.32613930497957,2.27767440124584,1.40424845818211,0.0261451924737697,0.0212572518986733,0.00157079638921273,0.0669477016751354,0.0610971715508739,0.0306892495679205,0.00593411951919856,1,1
0.9,-4.04990783860789,0.0291978908341518,6.80854223947524,0.0139178795137315,0.0640691244596592,0.00484814207116716,10,-0.117495565244258,2.32283860138437,1.21266276573206,2.2995660414114,1.28654988379997,0.0260895408215027,0.0181148726350529,0.00209439505557982,0.0640691244596592,0.063512144457724,0.0606659725446332,0.00349065855600352,1,1
1,-4.04732437983671,0.0291772484792258,6.80824516391425,0.0140393544717516,0.063438938306273,0.00486864817038376,10,-0.117495565244258,2.32282234963508,1.21266421968194,2.29944925413824,1.28589162377806,0.029027150014444,0.0153432630746809,0.00209439505557982,0.063438938306273,0.0629855469289733,0.0606659725446332,0.00349065855600352,1,1
1.1,-4.04155815262849,0.0292955359305701,6.81027342640455,0.014056533797859,0.0656839632319313,0.00486196811606668,10,-0.117495565244258,2.36281754622083,1.21264828188115,2.33939376517419,1.28799493344183,0.0303385453825264,0.0150500123724614,0.00261799398202122,0.0656839632319313,0.0648653637667393,0.0606659725446332,0.00523598796404245,1,1
1.2,-4.04176556546448,0.0290100620933094,6.81348160365806,0.0142252137619767,0.0634389383073024,0.00482858454438138,10,-0.127286862347946,2.43289666670467,1.17776801652461,2.40864016967196,1.25010787498174,0.0260876829211385,0.0154103880860638,0.00296705975959928,0.0634389383073024,0.0624599890984132,0.0574818002172772,0.00383972433358158,1,1
1.3,-4.04176556546448,0.0287701269636174,6.81348160365806,0.0141530546252744,0.0634389383073024,0.00476927286782121,10,-0.127286862347946,2.43294461195308,1.11661550504084,2.40758727205139,1.18824523354897,0.0261018009329458,0.0133505706244504,0.00331612553717733,0.0634389383073024,0.0629855457510355,0.0606659653230206,0.00506145468514193,1,1
