t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method,u_gps_raw_midship [m/s],vm_gps_raw_midship [m/s],U_gps_raw_midship [m/s]
0,-2.966600661864,0.0110686962618351,-0.643168069271954,-0.00232925679795627,-0.12198226531211,0.000555006253872726,10,0,1.03964282532925,2.7837156528558,1.05082751286516,2.6633469110046,0.0110686962618351,-0.00232925679795627,-0.000523598763894954,-0.12198226531211,-0.121684391903522,-0.120153045987642,-0.000174532921298318,1,1,-0.00737041128377321,0.01824335940143,0.019675952956381
0.1,-2.96395970968044,0.0110622197669348,-0.644365737588249,-0.00225956095836021,-0.12198226531211,0.000610970974950976,10,0,1.18445528296164,2.40858780018914,1.19422069117311,2.2914066313171,0.0104145702768981,0.00471002300124644,0.00139626337038654,-0.12198226531211,-0.122018550005706,-0.122203873988493,-0.000174532921298318,1,1,0,0.000249931143299191,0.000249931143299191
0.2,-2.96395970968044,0.0110496818171182,-0.644365737588249,-0.00221007273600744,-0.12198226531211,0.000663764156369007,10,0,1.18443973099018,2.4086034987569,1.19416698612587,2.29144828440264,0.0104196654332999,0.00027664888470384,0.00139626337038654,-0.12198226531211,-0.121684391903522,-0.120153045987642,-0.000174532921298318,1,1,0,0.000249931143299191,0.000249931143299191
0.3,-2.96395970968044,0.0110316213644789,-0.644365737588249,-0.00213878678343291,-0.12198226531211,0.000712572691698575,10,-0.00979129710368819,1.18442442587853,2.40861651925687,1.19409635027089,2.29149865385912,0.0104196654332999,0.00027664888470384,0.00139626337038654,-0.12198226531211,-0.121684391903522,-0.120153045987642,-0.000698131685193272,1,1,0,0.000999724573196766,0.000999724573196766
0.4,-2.96395970968044,0.0110088399651726,-0.644365737588249,-0.00204886690252178,-0.12198226531211,0.000756649159700063,10,0,1.02454729677483,2.47026204318923,1.03449085015586,2.35336690017085,0.0104196654332999,0.00027664888470384,0.00139626337038654,-0.12198226531211,-0.121684391903522,-0.120153045987642,0.000872664639000881,1,1,0,-0.00124965576304926,0.00124965576304926
0.5,-2.9612491734443,0.0109830491783982,-0.64499672940297,-0.00196536109563785,-0.12238096136481,0.000795303320335894,10,-0.00979129710368819,0.909625247645408,2.40017034096732,0.919109497745537,2.28430816450264,0.0104196705969695,-0.000290129851605715,0.00139626337038654,-0.12238096136481,-0.121684391903522,-0.118075204201906,0.000698131685193272,1,1,0.00960477738879369,-0.00658587135932992,0.0116458340298119
0.6,-2.96131875749688,0.0108085760400825,-0.645563405904545,-0.00186737162775023,-0.12198226531211,0.000827867342179221,10,-0.00979129710368819,0.909614800465093,2.40018033028773,0.918906919736829,2.28467099849389,0.00765618071055447,-9.42060890072867e-06,0.00139626337038654,-0.12198226531211,-0.121684391903522,-0.120153045987642,0.000698131685193272,1,1,0.00960254945079857,-0.00658970030207756,0.0116461627168022
0.7,-2.95853858893896,0.0106253464643691,-0.645629188690992,-0.00181688030685494,-0.122778644424924,0.00085381579445632,10,-0.00979129710368819,1.11941684417082,2.39981045106888,1.12853123094205,2.28222748075551,0.00765664236235215,-0.00114373841090531,0.00157079638921273,-0.122778644424924,-0.121684391903522,-0.115969829650546,0.00349065855600352,1,1,0.0096069981451768,-0.0105809497394376,0.0142916377910278
0.8,-2.95860822126074,0.0106115921811063,-0.646194397719265,-0.00175982099344619,-0.12238096136481,0.000872674430480482,10,-0.0195825942073764,1.11941433666223,2.39981835757432,1.12847968592732,2.28266220193639,0.0104215697466282,-0.000866140166997307,0.00174532927800176,-0.12238096136481,-0.121684391903522,-0.118075204201906,0.00314159277842547,1,1,0.00960477738879369,-0.0100849076448384,0.0139268485628732
0.9,-2.95860822126074,0.010597873429035,-0.646194397719265,-0.00139162251700133,-0.12238096136481,0.000884113703244704,10,-0.0293738913110646,1.1594941816693,2.30392504227057,1.16773776102511,2.18756097345567,0.0104129216921381,0.00357230914294107,0.00191986216679079,-0.12238096136481,-0.121684391903522,-0.118075204201906,0.00209439505557982,1,1,0.00960477738879369,-0.00858532050572345,0.0128825260284728
