t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0,1.84574094895242,0.078562941767502,1.22638917148071,0.00792306416757801,0.0359438239411618,-0.000172430899954807,20,0,2.15490515421603,4.28473151261569,2.19575733550397,4.28960974384787,0.078562941767502,0.00792306416757801,0.00541052072279431,0.0611818064372913,0.0359438239411618,-0.0865560621417345,0.00244346096319503,1,2
0.1,1.88040078927139,0.0784142807905643,1.24209853112388,0.00651151406171247,0.0522594918011794,-0.000252333122669101,20,-0.00979129710368819,3.80487249574946,4.71237900828246,3.81219246675376,4.74406487593209,0.0516674018366288,-0.00636304297434985,0.00837758022231927,0.0701333985658434,0.0522594918011794,-0.0375093018471209,0.000349065842596636,1,2
0.2,1.88592115882297,0.0778892667894324,1.2480736261158,0.00627136240933991,0.0517429726159733,-0.000339653965349669,20,-0.0195825942073764,3.8548162842966,4.69496623205425,3.86323098032126,4.72656768624848,0.0516774945813835,-0.0078311149542309,0.00837758022231927,0.0736591691878175,0.0517429726159733,-0.0577293864425024,-0.00104719752778991,1,2
0.3,1.89095543966199,0.0771895893604825,1.25062531736496,0.00611845267790191,0.0482840169931549,-0.000433924689752964,20,-0.0195825942073764,3.85476559544291,4.69497592349771,3.86300523301233,4.72328715467468,0.0542326969238526,-0.00819022268385385,0.00837758022231927,0.0701333985658434,0.0482840169931549,-0.0601293674624339,0.000174532921298318,1,2
0.4,1.8938824626743,0.0764781133340717,1.24374196645644,0.00569981610850456,0.052259490611531,-0.000534523619052154,20,-0.0195825942073764,3.85471656922732,4.69497451600861,3.86251083343233,4.72744155076038,0.0574645722020749,0.00281040411167424,0.0082030474635674,0.0743047498662681,0.052259490611531,-0.0577293864425024,-0.000174532921298318,1,2
0.5,1.90239201000395,0.0756431382217595,1.24207648923204,0.00536843754177167,0.0562487783037449,-0.000640816080770383,20,-0.0293738913110646,3.48966880442111,4.64259234599394,3.50111659192143,4.67737282471006,0.057494594573299,0.00481280792398126,0.0082030474635674,0.0749518625630088,0.0562487783037449,-0.0375093093014869,-0.00157079638921273,1,2
0.6,1.90771616947257,0.0748693977288073,1.23893422284276,0.00566626891909604,0.0567712108792573,-0.000752128996162811,20,-0.0293738913110646,3.48961022731917,4.64259634306047,3.50128736864382,4.67812139687396,0.0607755334829717,0.0117890759334641,0.00802851470481554,0.0749518625630088,0.0567712108792573,-0.034935603178168,-0.000174532921298318,1,2
0.7,1.9130408047768,0.074197218887832,1.23579048585135,0.00624279855579519,0.0572946876114571,-0.000867611282641892,20,-0.0293738913110646,3.35453734840475,4.67750260793612,3.36419675512008,4.71277677905981,0.063346481796814,0.0161386693951002,0.00785398142591502,0.0762506894320596,0.0572946876114571,-0.0375093093014869,-0.000698131685193272,1,2
0.8,1.92144412869052,0.0735172070873394,1.23635423051112,0.00674757226084401,0.0597255423673049,-0.000986497057944808,20,-0.0293738913110646,3.18948128456322,4.69500278255571,3.19837365854841,4.73172011847632,0.063382873503698,0.0167388043390442,0.00767944866716316,0.0797893785295531,0.0597255423673049,-0.0400510279149071,-0.00209439505557982,1,2
0.9,1.92137164224925,0.0731657409896909,1.23757519711857,0.00741694455131215,0.058871410773462,-0.00110785277870334,20,-0.0293738913110646,3.18941540829788,4.69500988737768,3.19896738226528,4.7309829620738,0.0685054504522279,0.0155946768330598,0.00767944866716316,0.0804450345589023,0.058871410773462,-0.0503457542041421,-0.00209439505557982,1,2
1,1.92396842224851,0.0731004869014391,1.23713036260076,0.00767448549093209,0.0583447844608249,-0.00123078185657198,20,-0.0293738913110646,2.9943430530273,4.64262042529287,3.0080071142518,4.67682959311329,0.0723245752285978,0.0104449248174686,0.00750491590841129,0.0797893785295531,0.0583447844608249,-0.0503457542041421,-0.00209439505557982,1,2
1.1,1.9323300319724,0.0721121317670236,1.23844305838565,0.0072623658485589,0.0602518207666625,-0.00135430940906508,20,-0.0195825942073764,2.99428498817718,4.64261442163582,3.00744326211303,4.67904876342915,0.0600674252741144,0.00398712821687814,0.00750491590841129,0.0797893773798986,0.0602518207666625,-0.0375093033379941,-0.000872664639000881,1,2
1.2,1.9379345142287,0.0713578048744713,1.24292574625397,0.00682517322428878,0.0607791495936192,-0.00147751648251249,20,-0.0293738913110646,3.04922639200473,4.64262625457523,3.06186105240414,4.68024901325819,0.0626296003370236,0.0022297658545062,0.00733038262951078,0.0839847126788704,0.0607791495936192,-0.0552991620231762,-0.00314159277842547,1,2
1.3,1.9455202344795,0.0706098855255054,1.24506219506103,0.00663726988523012,0.0567712104116989,-0.00159955354497237,20,-0.0195825942073764,2.8891761429982,4.69494197688859,2.89792697803804,4.72732424789159,0.0626028386556314,0.00136761939142605,0.00715584987075891,0.0775556897438674,0.0567712104116989,-0.0450407225604661,0.000349065842596636,1,2
