t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0,1.3298703205053,0.00250570787073786,2.41746703615309,-0.00392460402965494,-0.0151383612269067,-0.000246272510378277,1.66666666666667,0,1.16497361709328,5.23605720409481,1.16032196048737,5.22074011522602,0.00250570787073786,-0.00392460402965494,-0.0047123891676382,-0.0335482596674865,-0.0151383612269067,0.0840790499862176,-0.000872664639000881,1,2
0.1,1.32701137005513,0.00257111567460633,2.41462613179405,-0.00382547659821661,-0.0176479209514213,-0.000281509753673532,1.66666666666667,0,1.19498635738127,5.25349350488496,1.19028529513579,5.23564535828361,0.00812778330771986,0.00545720901470104,-0.00488692192639007,-0.0309914920805376,-0.0176479209514213,0.0521446035119275,-0.000872664639000881,1,2
0.2,1.32988016481339,0.00261710836130853,2.41810780281212,-0.00371866507969847,-0.01558587678597,-0.00031779362051392,1.66666666666667,0,1.19505125678919,5.2535080394896,1.19033790776203,5.23763602492832,0.00532483540237075,0.00191447856131426,-0.00506145468514193,-0.0285036109535304,-0.01558587678597,0.0521446035119275,0.00104719752778991,1,2
0.3,1.3299406276701,0.00270376580777403,2.42169797798905,-0.00367159350573663,-0.0180933385283037,-0.000354810609676489,1.66666666666667,0,1.19505373768309,5.25352054343866,1.19031816984846,5.2350536908432,0.00532437846826683,-0.00229938308652231,-0.00506145468514193,-0.0290192728413576,-0.0180933385283037,0.0400656679477025,-0.000872664639000881,1,2
0.4,1.3298703205053,0.00279078097972305,2.41746703615309,-0.00349498923875026,-0.0151383612269067,-0.000392159702491952,1.66666666666667,0.0103148958792865,1.14013309122243,5.2099273747653,1.13542436902951,5.1940501907934,0.00532206989019626,0.00127857768416973,-0.00506145468514193,-0.0290192728413576,-0.0151383612269067,0.0586567145345274,-0.000349065842596636,1,2
0.5,1.3296637208985,0.00292135161457161,2.41406620034169,-0.0032507687984382,-0.0180933392652565,-0.000429400121526989,1.66666666666667,0.0103148958792865,1.14025409060589,5.20997728464832,1.13556042724137,5.19089644238133,0.0054676648624399,0.0017454738378669,-0.00506145468514193,-0.0365452537061606,-0.0180933392652565,0.0806091779005242,-0.00191986216679079,1,2
0.6,1.3296637208985,0.00305441193371616,2.41406620034169,-0.00302332894176922,-0.0180933392652565,-0.000466215481681189,1.66666666666667,0.020629791758573,1.17034057494737,5.21875917564588,1.16567082576067,5.19949568845517,0.00546941514336341,0.00110463337929346,-0.00506145468514193,-0.0395496317893891,-0.0180933392652565,0.0956297864754043,-0.00191986216679079,1,2
0.7,1.33231633146076,0.00319699732759665,2.41350495095349,-0.00277985762885841,-0.0185378406647703,-0.000502170891174293,1.66666666666667,0.020629791758573,1.1354070429025,5.21011511744738,1.13081094094803,5.19005926028617,0.00546702992560818,0.00111137749503066,-0.00523598796404245,-0.0395496317893891,-0.0185378406647703,0.0921397231219492,0.00104719752778991,1,2
0.8,1.33231633146076,0.00334267614164638,2.41350495095349,-0.00253013851974369,-0.0185378406647703,-0.000536851743390892,1.66666666666667,0.020629791758573,1.13545386364197,5.21019009464731,1.13094576090937,5.18984707367898,0.00546702992560818,0.00111137749503066,-0.00523598796404245,-0.0390469460778597,-0.0185378406647703,0.0886918977138504,0.00104719752778991,1,2
0.9,1.33231633146076,0.00348936870290757,2.41350495095349,-0.00227868166961176,-0.0185378406647703,-0.000569913546141201,1.66666666666667,0.020629791758573,1.10053603409877,5.3323980931697,1.09588572038522,5.31220269996257,0.00546702992560818,0.00111137749503066,-0.00523598796404245,-0.0390469460778597,-0.0185378406647703,0.0886918977138504,-0.00139626337038654,1,2
