t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad]
0.0,1.8189580414519,0.0011177693389838,1.30427625739381,0.0292009308556259,0.121997839674212,3.33999230038864e-05,0.0,0.0,1.36068471832885,5.45420237821616,1.37110473470149,5.55251652662713
0.1,1.81708611101708,0.0011264497127341,1.3288710700995,0.0289562042640303,0.1226857170993,3.93307352905326e-05,9.99969482421875,0.0,1.20067946087013,5.4639110920896,1.21071365427936,5.55989895376948
0.2,1.81708611101708,0.0011041935212011,1.3288710700995,0.0284801911609231,0.1226857170993,4.87693016591248e-05,9.99969482421875,0.0,1.2005362246076,5.46378352850111,1.21037678993994,5.56017257112246
0.3,1.8168351992139,0.0011487257262978,1.33088310430049,0.027733323521933,0.125444383129123,6.20408483951068e-05,9.99969482421875,0.0,1.20029203929964,5.4635053164349,1.20979526545004,5.5633122652844
0.4,1.8168351992139,0.0011057993427765,1.33088310430049,0.0267952060194635,0.125444383129123,7.95177263223819e-05,9.99969482421875,0.0,1.19994398091914,5.46318467551214,1.20913083738049,5.56385212040157
0.5,1.8168351992139,0.0010554313001599,1.33088310430049,0.0257687654087793,0.125444383129123,0.0001014839165234,9.99969482421875,0.0,1.27962507096059,5.45366407367838,1.28856778042075,5.55664280921725
0.6,1.8168351992139,0.0009995814368131,1.33088310430049,0.0246606558853788,0.125444383129123,0.0001281902516095,9.99969482421875,0.0,1.27929835847486,5.45339093548434,1.28778309792783,5.55724521438378
0.7,1.8168351992139,0.0009402058468501,1.33088310430049,0.0234825929009268,0.125444383129123,0.0001598917176039,9.99969482421875,0.0,1.26381839269169,5.43605549039967,1.27226877436407,5.54070992683351
0.8,1.81677104417517,0.0008944453914577,1.331390419294,0.0222340890470061,0.126140104811095,0.0001967114165858,9.99969482421875,0.0,1.26356531681026,5.43586332419904,1.27136008109418,5.54205858140997
0.9,1.81651388284228,0.000889520124464,1.33339617943734,0.0208000522240016,0.128891368882872,0.0002386726999581,9.99969482421875,0.0,1.26326669082449,5.43563800993418,1.2702860535938,5.5455324652721
1.0,1.81651388284228,0.0008726138177641,1.33339617943734,0.0204005428431718,0.128891368882872,0.000285883426534,9.99969482421875,0.0,1.26321935509596,5.43555152397882,1.27001055077611,5.54573428763391
1.1,1.81651388284228,0.0008060282292977,1.33339617943734,0.0190655010144133,0.128891368882872,0.0003383042593995,9.99969482421875,0.0,1.13673504160649,5.32248608387069,1.14540783469137,5.43247640730789
1.2,1.81651388284228,0.0007418416437825,1.33339617943734,0.0178642407989583,0.128891368882872,0.000395823919983,9.99969482421875,0.0,1.13653684489088,5.32230474618944,1.14447211595047,5.433140396171
