t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad]
0.0,-4.13572582454899,0.0134082639197516,-0.759484054859347,-0.0021195663874127,-0.0415607913188494,0.0014695629637157,10,0.0,1.62495607002947,3.07223262638827,1.63847941855699,3.02994847043854
0.1,-4.13308487243453,0.0134082639197736,-0.760681723144306,-0.0021195663874216,-0.0415607913188494,0.0015783094747659,10,-0.0195825942073764,1.46489762479955,3.07229517132967,1.47842094625897,3.02993212955923
0.2,-4.12749608503616,0.0133577747636314,-0.754728746996066,-0.0022687902170137,-0.0420616018554354,0.0016794495595035,10,-0.0391651884147528,1.53484355379661,3.07226807068517,1.54837567201255,3.02933917789984
0.3,-4.12752606162893,0.0132822751265589,-0.755445280483592,-0.0024795083475384,-0.0415607916145551,0.0017715618976315,10,-0.0489564855184409,1.5347821704433,3.07230104009792,1.54831030324263,3.02972873811246
0.4,-4.12752606162893,0.0132870533988012,-0.755445280483592,-0.0024930393192809,-0.0415607916145551,0.0018533074371965,10,-0.0685390797258173,1.35983842950508,3.15950672109734,1.37318151430774,3.1159423408435
0.5,-4.12752606162893,0.0132926263552552,-0.755445280483592,-0.002508820654558,-0.0415607916145551,0.0019234609977244,10,-0.0783303768295055,1.35984169116927,3.15952908745285,1.37318565907109,3.11595351189472
0.6,-4.12485513291952,0.0132999189212241,-0.755926415282014,-0.0025192835555411,-0.0420616018554354,0.0019808773133102,10,-0.0881216739331937,1.2897853231786,3.22037265902294,1.30294017581235,3.17556146966043
0.7,-4.1250581566207,0.0132978888623042,-0.760961220308762,-0.0023739891555885,-0.0385428174056452,0.0020245634757925,10,-0.10770426814057,1.13504113447268,3.31685870005611,1.14783353477416,3.27422638789274
0.8,-4.1250581566207,0.0134773062250656,-0.760961220308762,-0.0021996090505611,-0.0385428174056452,0.0020536713071595,10,-0.117495565244258,1.13503166230974,3.31687362287039,1.1480420622908,3.27436217685838
0.9,-4.12241720450405,0.0136582726214548,-0.762158888594712,-0.0017252788222998,-0.0385428174056452,0.0020675502286778,10,-0.127286862347946,1.16493870144225,3.29077993811365,1.17840271240165,3.24901682954799
1.0,-4.12241720450405,0.0137383198265818,-0.762158888594712,-0.0014806242194106,-0.0385428174056452,0.002065694270615,10,-0.137078159451635,1.0850186998464,3.35202148507276,1.09836961843891,3.3094829949201
1.1,-4.11977625238741,0.0138170750122345,-0.763356556880662,-0.0010488706653596,-0.0385428174056452,0.0020477875135097,10,-0.146869456555323,1.08495667225206,3.35202304580412,1.09853287958165,3.30984536962796
1.2,-4.11716299325502,0.013784006249964,-0.765277110622167,-0.0007992454732035,-0.038037638834852,0.0020136674471177,10,-0.156660753659011,1.07987086412003,3.28219057462481,1.09369678631307,3.24161054967317
1.3,-4.11716299325502,0.0137530054383443,-0.765277110622167,-0.0005851784990032,-0.038037638834852,0.0019634120539419,10,-0.166452050762699,1.07987059723462,3.28216213061227,1.09369086760857,3.24178516317422
1.4,-4.11424513498076,0.0138375653457927,-0.758842999925788,-0.0003995895656153,-0.038037639425424,0.0018972358921729,10,-0.176243347866387,1.08486025124316,3.26466902049647,1.0988184335769,3.22468652815558
1.5,-4.11424513498076,0.0139166228118872,-0.758842999925788,-0.000226077192324,-0.038037639425424,0.0018155110755541,10,-0.176243347866387,1.18486571213779,3.26454165144098,1.19891122921735,3.22486291253366
1.6,-4.11157648987711,0.0138717370568324,-0.759317782758133,-0.0001044503756655,-0.0385428179956089,0.0017188059724533,10,-0.186034644970076,1.18487565153699,3.26449543587988,1.1988737930935,3.22442113734114
1.7,-4.1116315779786,0.0139505015275941,-0.760765360451537,0.0001634292531608,-0.037531207957253,0.0016078775677687,10,-0.186034644970076,1.23980499979711,3.22070729159284,1.25397443929822,3.18241335051825
1.8,-4.10896323074278,0.0142645258130274,-0.761238336499811,0.0005132723612439,-0.038037639425424,0.0014835845073045,10,-0.195825942073764,1.28977506694885,3.17706216389018,1.30430808685061,3.13903006672969
1.9,-4.10615122709992,0.0144280403490672,-0.758113178832905,0.0008885777395675,-0.0410587368088688,0.0013469868217791,10,-0.195825942073764,1.28976183743627,3.17700154511158,1.30447962549634,3.13623735043478
2.0,-4.10612153624579,0.014702159755015,-0.75739485075884,0.0011502615096725,-0.0415607908800475,0.0011991931637929,10,-0.195825942073764,1.22971312516738,3.10726179851465,1.2446248155723,3.06705336866807
2.1,-4.10326209295813,0.0149483915529203,-0.753552286855992,0.0014018709536618,-0.0450838134425127,0.0010413613719653,10,-0.195825942073764,1.27962861528612,2.97605017964419,1.29438244527922,2.93398577527653
2.2,-4.10053274510726,0.015181235412317,-0.751441872430831,0.0016056764543507,-0.0420616040750323,0.0008748301575901,10,-0.205617239177452,1.27964346900251,2.9759763217575,1.29458473130487,2.93711978631256
2.3,-4.10059241255753,0.0153915039284488,-0.752876733983657,0.0017831359155861,-0.0410587397689917,0.0007009721448437,10,-0.205617239177452,1.15969824334149,2.87158872353435,1.17427546795473,2.83556015907436
2.4,-4.09792176958521,0.0157072213272417,-0.753356074199838,0.001747157271529,-0.0415607938371008,0.0005211773356166,10,-0.205617239177452,1.15973650679232,2.87149882983558,1.17461000907201,2.83500328125967
2.5,-4.09792176958521,0.0161214907973547,-0.753356074199838,0.0016220517287524,-0.0415607938371008,0.0003368609674265,10,-0.205617239177452,1.15976848069345,2.87140000456247,1.17506342447823,2.83488984108554
2.6,-4.09798086315213,0.0164991015965654,-0.754794531774685,0.0014922212047005,-0.0405554370346046,0.0001494621551416,10,-0.205617239177452,1.22443428780187,2.74055091443242,1.23922265298712,2.70636888974904
